X,block_number,block_transaction_count,block_size,block_gas_used,block_miner
9,3903908,7,1314,4701495,0x1e9939daaad6924ad004c2560e90804164900341
23,3903922,29,3770,4691926,0x1e9939daaad6924ad004c2560e90804164900341
32,3903931,40,5108,4711971,0x1e9939daaad6924ad004c2560e90804164900341
44,3903943,92,11376,4703485,0x1e9939daaad6924ad004c2560e90804164900341
50,3903949,32,4183,4705472,0x1e9939daaad6924ad004c2560e90804164900341
61,3903960,9,8659,4682383,0x1e9939daaad6924ad004c2560e90804164900341
75,3903974,23,3475,4702077,0x1e9939daaad6924ad004c2560e90804164900341
76,3903975,26,3575,4691376,0x1e9939daaad6924ad004c2560e90804164900341
79,3903978,36,4880,4709325,0x1e9939daaad6924ad004c2560e90804164900341
94,3903993,27,3644,4691978,0x1e9939daaad6924ad004c2560e90804164900341
131,3904030,37,4637,4704013,0x1e9939daaad6924ad004c2560e90804164900341
132,3904031,24,3531,4706421,0x1e9939daaad6924ad004c2560e90804164900341
138,3904037,10,1651,4702001,0x1e9939daaad6924ad004c2560e90804164900341
140,3904039,39,5344,4694611,0x1e9939daaad6924ad004c2560e90804164900341
141,3904040,29,3898,4702000,0x1e9939daaad6924ad004c2560e90804164900341
151,3904050,52,7244,4705045,0x1e9939daaad6924ad004c2560e90804164900341
166,3904065,13,2068,4704458,0x1e9939daaad6924ad004c2560e90804164900341
176,3904075,6,1208,4698774,0x1e9939daaad6924ad004c2560e90804164900341
179,3904078,45,5958,4693460,0x1e9939daaad6924ad004c2560e90804164900341
182,3904080,9,1605,4703505,0x1e9939daaad6924ad004c2560e90804164900341
195,3904085,31,4015,4695478,0x1e9939daaad6924ad004c2560e90804164900341
203,3904215,71,10747,4654722,0x1e9939daaad6924ad004c2560e90804164900341
205,3904217,29,4004,4707656,0x1e9939daaad6924ad004c2560e90804164900341
209,3904221,100,12177,4705409,0x1e9939daaad6924ad004c2560e90804164900341
220,3904229,34,5120,4645619,0x1e9939daaad6924ad004c2560e90804164900341
223,3904091,48,6640,4698068,0x1e9939daaad6924ad004c2560e90804164900341
226,3904233,63,15002,4696228,0x1e9939daaad6924ad004c2560e90804164900341
238,3904239,102,12196,4694899,0x1e9939daaad6924ad004c2560e90804164900341
