X,block_number,block_transaction_count,block_size,block_gas_used,miners_label
1,3903900,65,10043,4701379,ethermine
2,3903901,36,5142,4695025,C0ea08A2d
3,3903902,2,755,258010,DwarfPool1
4,3903903,29,3926,4701890,ethermine
5,3903904,32,4098,4698626,Ethermine.ru
6,3903905,197,22275,4701928,ethermine
7,3903906,27,3535,4694704,ethermine
8,3903907,27,3588,4687308,miningpoolhub_1
9,3903908,7,1314,4701495,ethfans.org
10,3903909,22,2982,4707352,ethermine
11,3903910,43,5487,4707761,miningpoolhub_1
12,3903911,62,7655,4694726,Coinotron
13,3903912,35,4454,4523239,f2pool
14,3903913,10,1657,1306005,f2pool
15,3903914,18,2534,4697838,C0ea08A2d
16,3903915,0,533,0,f2pool
17,3903916,0,1075,0,f2pool
18,3903917,23,3089,4708525,miningpoolhub_1
19,3903918,39,5531,4702739,Nanopool
20,3903919,61,7255,4706109,miningpoolhub_1
21,3903920,23,3150,4698765,miningpoolhub_1
22,3903921,38,4741,4696084,Nanopool
23,3903922,29,3770,4691926,ethfans.org
24,3903923,26,4106,4694450,ethermine
25,3903924,0,533,0,f2pool
26,3903925,28,3658,4700561,Nanopool
27,3903926,20,2764,4693870,C0ea08A2d
28,3903927,17,2490,4692183,Ethpool_2
29,3903928,25,3385,4707466,ethermine
30,3903929,0,533,0,f2pool
31,3903930,0,1066,0,f2pool
32,3903931,40,5108,4711971,ethfans.org
33,3903932,60,7906,4696158,C0ea08A2d
34,3903933,56,7395,4704325,Ethpool_2
35,3903934,42,5254,4708433,ethermine
36,3903935,194,22140,4700947,ethermine
37,3903936,222,25385,4708467,ethermine
38,3903937,32,4617,4706710,Nanopool
39,3903938,27,3659,4709469,Ethpool_2
40,3903939,18,2735,4672984,bitclubpool
41,3903940,25,4233,4694421,ethermine
42,3903941,34,4895,4690805,C0ea08A2d
43,3903942,18,2724,4700651,ethermine
44,3903943,92,11376,4703485,ethfans.org
45,3903944,129,15234,4661524,f2pool
46,3903945,78,10027,4714983,a4aaf1d
47,3903946,22,3157,4682773,miningpoolhub_1
48,3903947,7,8433,4704239,miningpoolhub_1
49,3903948,70,8825,4687062,Coinotron
50,3903949,32,4183,4705472,ethfans.org
51,3903950,17,9710,4694032,miningpoolhub_1
52,3903951,109,12660,2361397,ethermine
53,3903952,62,9948,4697077,waterhole
54,3903953,24,3839,4692897,miningpoolhub_1
55,3903954,50,7027,4689421,Coinotron
56,3903955,103,12170,4697209,f2pool
57,3903956,47,6242,4695559,Coinotron
58,3903957,175,20153,3863190,ethermine
59,3903958,16,2524,4693353,miningpoolhub_1
60,3903959,1,643,300000,DwarfPool1
61,3903960,9,8659,4682383,ethfans.org
62,3903961,55,6747,4692642,Ethpool_2
63,3903962,13,2037,4706252,ethermine
64,3903963,26,3666,4704060,ethermine
65,3903964,10,1758,4704270,miningpoolhub_1
66,3903965,1,642,1223029,DwarfPool1
67,3903966,128,14910,4703821,f2pool
68,3903967,11,1776,4700743,waterhole
69,3903968,53,6792,4686842,C0ea08A2d
70,3903969,77,9205,4683104,miningpoolhub_1
71,3903970,38,5149,4697410,C0ea08A2d
72,3903971,155,17691,4664034,f2pool
73,3903972,26,4613,4678303,Nanopool
74,3903973,34,4453,4661003,miningpoolhub_1
75,3903974,23,3475,4702077,ethfans.org
76,3903975,26,3575,4691376,ethfans.org
77,3903976,130,15225,4708298,ethermine
78,3903977,26,10987,4708163,ethermine
79,3903978,36,4880,4709325,ethfans.org
80,3903979,36,5673,4709849,Nanopool
81,3903980,38,5281,4696383,ethermine
82,3903981,38,5242,4698769,Nanopool
83,3903982,5,1095,635824,f2pool
84,3903983,1,649,143712,f2pool
85,3903984,0,533,0,f2pool
86,3903985,0,533,0,f2pool
87,3903986,47,6106,4697732,ethermine
88,3903987,203,23078,4700963,ethermine
89,3903988,47,5738,4694771,ethermine
90,3903989,29,3801,4696795,miningpoolhub_1
91,3903990,1,648,200000,f2pool
92,3903991,44,5983,4700669,miningpoolhub_1
93,3903992,218,24656,4705158,ethermine
94,3903993,27,3644,4691978,ethfans.org
95,3903994,116,13575,2631652,ethermine
96,3903995,0,533,0,f2pool
97,3903996,41,5402,4703123,C0ea08A2d
98,3903997,0,533,0,f2pool
99,3903998,91,10736,2000690,ethermine
100,3903999,28,3792,4662587,ethermine
101,3904000,1,1183,200000,DwarfPool1
102,3904001,1,649,143712,f2pool
103,3904002,35,4880,4711349,Nanopool
104,3904003,1,645,4707700,Nanopool
105,3904004,0,533,0,f2pool
106,3904005,37,4844,4697860,Nanopool
107,3904006,0,1053,0,f2pool
108,3904007,36,4793,4701094,bitclubpool
109,3904008,129,15116,4685891,f2pool
110,3904009,137,16146,4716610,f2pool
111,3904010,30,4515,4616048,Nanopool
112,3904011,101,12792,4705172,f2pool
113,3904012,33,4507,4703559,miningpoolhub_1
114,3904013,180,21234,4698831,ethermine
115,3904014,45,5775,4696659,C0ea08A2d
116,3904015,133,15401,4698372,f2pool
117,3904016,45,6046,4698122,C0ea08A2d
118,3904017,9,1540,4706029,Nanopool
119,3904018,38,5292,4705759,bitclubpool
120,3904019,1,643,233080,DwarfPool1
121,3904020,27,4240,4691855,C0ea08A2d
122,3904021,214,24871,4685611,DwarfPool1
123,3904022,184,21773,4695278,ethermine
124,3904023,33,4244,4706848,ethermine
125,3904024,134,16047,4656527,f2pool
126,3904025,111,13246,4696118,Nanopool
127,3904026,25,3406,4710252,DwarfPool1
128,3904027,41,5129,4697800,miningpoolhub_1
129,3904028,1,646,4710000,Nanopool
130,3904029,214,24264,4692211,ethermine
131,3904030,37,4637,4704013,ethfans.org
132,3904031,24,3531,4706421,ethfans.org
133,3904032,32,4218,4703000,miningpoolhub_1
134,3904033,213,24534,4711142,ethermine
135,3904034,69,8177,4697967,a9a926b
136,3904035,8,1483,4700318,C0ea08A2d
137,3904036,30,3858,4705167,Ethpool_2
138,3904037,10,1651,4702001,ethfans.org
139,3904038,15,2191,4710767,Ethpool_2
140,3904039,39,5344,4694611,ethfans.org
141,3904040,29,3898,4702000,ethfans.org
142,3904041,42,5626,4697941,Ethpool_2
143,3904042,2,754,523029,DwarfPool1
144,3904043,48,5917,4691950,Nanopool
145,3904044,19,2644,4687678,49deb4
146,3904045,42,5631,4698671,C0ea08A2d
147,3904046,161,18695,4687038,ethermine
148,3904047,30,4295,4710183,ethermine
149,3904048,39,4993,4711070,ethermine
150,3904049,206,24117,4693441,ethermine
151,3904050,52,7244,4705045,ethfans.org
152,3904051,114,13261,4697655,f2pool
153,3904052,145,16789,3227934,ethermine
154,3904053,40,5338,4709910,ethermine
155,3904054,27,3651,4709000,ethermine
156,3904055,172,21054,3781609,f2pool
157,3904056,128,15700,4703112,Ethpool_2
158,3904057,93,11025,2166503,ethermine
159,3904058,32,4166,748647,ethermine
160,3904059,50,6880,4700480,Coinotron
161,3904060,8,1425,1032000,f2pool
162,3904061,10,1643,389955,f2pool
163,3904062,75,8902,1679090,ethermine
164,3904063,146,17142,4702832,f2pool
165,3904064,66,8465,4699450,ethermine
166,3904065,13,2068,4704458,ethfans.org
167,3904066,5,1090,541000,f2pool
168,3904067,1,649,4710000,f2pool
169,3904068,42,5666,4702963,Nanopool
170,3904069,5,1091,541000,f2pool
171,3904070,194,23273,4710568,ethermine
172,3904071,57,6973,4709963,ethermine
173,3904072,104,12239,4222668,f2pool
174,3904073,51,6691,3516652,f2pool
175,3904074,95,11464,4696862,Nanopool
176,3904075,6,1208,4698774,ethfans.org
177,3904076,49,6354,4704789,miningpoolhub_1
178,3904077,7,1316,535900,f2pool
179,3904078,45,5958,4693460,ethfans.org
180,3904079,74,8884,1710000,f2pool
182,3904080,9,1605,4703505,ethfans.org
183,3904081,1,641,21000,DwarfPool1
184,3904082,55,7195,4707636,Nanopool
186,3904083,207,23683,4709146,ethermine
194,3904084,48,6458,4700112,miningpoolhub_1
195,3904085,31,4015,4695478,ethfans.org
196,3904086,169,19519,3641468,ethermine
210,3904087,55,7619,4693600,miningpoolhub_1
211,3904088,36,4655,4702966,a9a926b
212,3904089,54,6927,4707340,ethermine
222,3904090,1,649,4707806,f2pool
223,3904091,48,6640,4698068,ethfans.org
228,3904092,56,6795,4695311,C0ea08A2d
231,3904093,9,1540,925000,f2pool
232,3904094,43,6055,4704341,C0ea08A2d
233,3904095,57,7056,4692724,Nanopool
234,3904096,31,4263,4699497,Coinotron
235,3904097,57,7787,4696147,ethermine
241,3904098,27,11126,4698600,miningpoolhub_1
246,3904099,110,12743,2449722,ethermine
466,3904100,40,5034,943632,ethermine
468,3904101,53,6860,4668396,miningpoolhub_1
469,3904102,3,886,4686595,ethfans.org
474,3904103,47,6369,4700456,C0ea08A2d
475,3904104,38,6884,4707861,Ethpool_2
479,3904105,3,869,4697267,miningpoolhub_1
480,3904106,161,21790,4697397,ethermine
483,3904107,26,3420,4709058,ethfans.org
484,3904108,69,8830,4707836,Ethpool_2
486,3904109,40,5764,4709610,Ethpool_2
487,3904110,0,527,0,DwarfPool1
488,3904111,79,9280,1687125,ethermine
